model,dataset,ece,mean_conf_correct,mean_conf_wrong,conf_gap,overall_accuracy,n
llama,gsm8k,0.0433,8.94,8.38,0.56,84.0,1319
llama,triviaqa,0.1273,9.68,7.95,1.73,76.2,1000
llama,strategyqa,0.115,8.25,7.88,0.37,68.82,2290
llama,humaneval,0.4988,8.76,8.49,0.27,35.37,164
mistral,gsm8k,0.0478,9.89,9.37,0.52,58.91,1319
mistral,triviaqa,0.0168,9.92,9.63,0.28,77.7,1000
mistral,strategyqa,0.058,9.73,9.1,0.63,62.01,2290
mistral,humaneval,0.078,9.64,9.47,0.17,17.07,164
qwen,gsm8k,0.6171,1.27,1.27,0.0,73.77,1319
qwen,triviaqa,0.1513,4.42,4.42,0.0,59.2,1000
qwen,strategyqa,0.1098,9.15,8.49,0.66,67.64,2290
qwen,humaneval,0.6079,1.19,1.22,-0.02,71.95,164
