model,dataset,threshold,n,corrected,corrected_pct,accuracy,delta,net_score,fix_rate,regression_rate,cc,cw,wc,ww,baseline_acc
llama,gsm8k,1,1319,0,0.0,84.0,0.0,0,0.0,0.0,1108,0,0,211,84.0
llama,gsm8k,2,1319,3,0.23,84.08,0.08,1,0.47,0.0,1108,0,1,210,84.0
llama,gsm8k,3,1319,8,0.61,84.08,0.08,1,0.47,0.0,1108,0,1,210,84.0
llama,gsm8k,4,1319,8,0.61,84.08,0.08,1,0.47,0.0,1108,0,1,210,84.0
llama,gsm8k,5,1319,8,0.61,84.08,0.08,1,0.47,0.0,1108,0,1,210,84.0
llama,gsm8k,6,1319,8,0.61,84.08,0.08,1,0.47,0.0,1108,0,1,210,84.0
llama,gsm8k,7,1319,10,0.76,84.15,0.15,2,0.95,0.0,1108,0,2,209,84.0
llama,gsm8k,8,1319,10,0.76,84.15,0.15,2,0.95,0.0,1108,0,2,209,84.0
llama,gsm8k,9,1319,208,15.77,78.7,-5.31,-70,5.69,7.4,1026,82,12,199,84.0
llama,gsm8k,10,1319,1250,94.77,52.16,-31.84,-420,20.38,41.79,645,463,43,168,84.0
llama,triviaqa,1,1000,0,0.0,76.2,0.0,0,0.0,0.0,762,0,0,238,76.2
llama,triviaqa,2,1000,4,0.4,76.2,0.0,0,0.0,0.0,762,0,0,238,76.2
llama,triviaqa,3,1000,21,2.1,76.7,0.5,5,2.1,0.0,762,0,5,233,76.2
llama,triviaqa,4,1000,21,2.1,76.7,0.5,5,2.1,0.0,762,0,5,233,76.2
llama,triviaqa,5,1000,21,2.1,76.7,0.5,5,2.1,0.0,762,0,5,233,76.2
llama,triviaqa,6,1000,29,2.9,76.9,0.7,7,2.94,0.0,762,0,7,231,76.2
llama,triviaqa,7,1000,38,3.8,76.9,0.7,7,2.94,0.0,762,0,7,231,76.2
llama,triviaqa,8,1000,38,3.8,76.9,0.7,7,2.94,0.0,762,0,7,231,76.2
llama,triviaqa,9,1000,192,19.2,79.0,2.8,28,13.03,0.39,759,3,31,207,76.2
llama,triviaqa,10,1000,365,36.5,79.5,3.3,33,23.11,2.89,740,22,55,183,76.2
llama,strategyqa,1,2290,0,0.0,68.82,0.0,0,0.0,0.0,1576,0,0,714,68.82
